,file,flow_file,length,width,height,label
0,/mnt/d/Datasets/hmdb51_org/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_0.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_0.avi,409,320.0,240.0,0
2,/mnt/d/Datasets/hmdb51_org/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_2.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_2.avi,323,320.0,240.0,0
4,/mnt/d/Datasets/hmdb51_org/brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1.avi,130,320.0,240.0,0
8,/mnt/d/Datasets/hmdb51_org/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi,359,416.0,240.0,0
12,/mnt/d/Datasets/hmdb51_org/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2.avi,647,320.0,240.0,0
15,/mnt/d/Datasets/hmdb51_org/brush_hair/Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1.avi,274,320.0,240.0,0
16,/mnt/d/Datasets/hmdb51_org/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1.avi,256,416.0,240.0,0
18,/mnt/d/Datasets/hmdb51_org/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4.avi,115,416.0,240.0,0
24,/mnt/d/Datasets/hmdb51_org/brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_1.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_1.avi,260,416.0,240.0,0
25,/mnt/d/Datasets/hmdb51_org/brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_2.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_2.avi,243,416.0,240.0,0
